"","dataset_identifier","dataset_title","field_title","field_type","field_description"
"1","01","Indicadores Sectoriales y Provinciales","sector_id","number","Identifca el sector"
"2","01","Indicadores Sectoriales y Provinciales","sector_nombre","text","Descripción del sector al que afecta la variable"
"3","01","Indicadores Sectoriales y Provinciales","variable_id","number","Identifica la variable"
"4","01","Indicadores Sectoriales y Provinciales","actividad_producto_nombre","text","Describe la actividad o producto que describe la variable"
"5","01","Indicadores Sectoriales y Provinciales","indicador","text","Indicador correspondiente a la actividad o producto que describe la variable"
"6","01","Indicadores Sectoriales y Provinciales","unidad_de_medida","text","Unidad en la que está expresado el valor de la variable"
"7","01","Indicadores Sectoriales y Provinciales","fuente","text","Fuente original de la que proviene la variable"
"8","01","Indicadores Sectoriales y Provinciales","frecuencia_nombre","text","Identifica la frecuencia del dato con valores: anual, trimestral y mensual"
"9","01","Indicadores Sectoriales y Provinciales","cobertura_nombre","text","Cobertura de la variable a nivel país, provincia, municipio, localidad, departamento, conglomerado, empresas, otros"
"10","01","Indicadores Sectoriales y Provinciales","alcance_tipo","text","Alcance a nivel país, provincia, municipio, localidad, departamento, conglomerado, empresas, otros"
"11","01","Indicadores Sectoriales y Provinciales","alcance_id","text","Código de país, provincia, municipio, localidad, departamento, conglomerado, empresas, otros"
"12","01","Indicadores Sectoriales y Provinciales","alcance_nombre","text","Identifica el nombre de provincia, departament, localidad, otros de referencia"
"13","01","Indicadores Sectoriales y Provinciales","indice_tiempo","date","Anual, trimestral y mensual"
"14","01","Indicadores Sectoriales y Provinciales","valor","number","Valor de la variable"
"15","01","Indicadores Sectoriales y Provinciales","variable_descripcion","text","Descripción de la variable"
