year,prop_desde_pba_file,prop_desde_nacion_file
2004,42.416453929470705,35.798128107266876
2005,42.287366284722985,35.83668580827116
2006,42.19924935286025,35.548341559877144
2007,42.70133941933608,35.5772399114472
2008,43.220339517268656,35.95900064705914
2009,41.211526543232935,34.471009621674966
2010,42.793404489909015,35.74494354767157
2011,43.06988476095178,35.811470333327925
2012,43.03981735759484,35.72082738330228
2013,42.815032080646475,35.506529623293396
2014,42.258771091435136,35.233402211664185
2015,41.307472527160044,34.371276671690474
2016,41.36508137081734,34.21592195438411
2017,41.12305712487681,33.86883363515788
2018,40.31391841855499,33.27362104144543
2019,40.37184005287524,33.44717925216912
2020,42.06039155422266,34.887804849596115
2021,42.407588065019375,35.26423943486887
2022,42.76018190714089,35.48536878201407
2023,45.23632389627201,37.403239027551734
